Feature,Importance
D_63_CL,1
B_14,1
D_60,1
S_11,1
D_65,1
B_18,1
R_6,1
S_13,1
D_71,1
S_15,1
B_23,1
D_58,1
P_4,1
R_10,1
R_11,1
R_12,1
B_28,1
R_16,1
S_26,1
D_102,1
B_37,1
B_40,1
D_133,1
D_75,1
R_5,1
B_24,1
B_12,1
D_63_CO,1
D_63_CR,1
S_8,1
D_126_1.0,1
D_39,1
B_1,1
R_1,1
B_4,1
B_5,1
R_2,1
D_47,1
D_144,1
D_51,1
B_11,1
S_5,1
R_3,1
B_9,1
B_10,1
R_4,1
B_7,1
B_41,2
D_127,2
B_36,2
R_7,3
B_21,3
S_12,4
D_140,6
S_6,6
S_16,6
D_63_XM,8
D_63_XZ,10
R_13,10
R_15,11
B_32,12
S_20,14
D_92,14
S_17,15
R_21,17
R_22,17
R_19,18
R_17,20
R_25,20
R_28,21
R_24,22
R_8,23
D_86,25
D_93,25
D_96,26
R_18,28
D_94,28
R_14,29
S_18,31
R_20,31
S_19,32
R_23,33
B_31,35
D_63_XL,35
